;date;mac;provider;access_point;signal_strength;quality;unknown2;frequency;stations;device;station_count
87;6-12-2021 12:46:47;84:3D:C6:AD:7B:40;Cisco Systems Inc.;eduroam;-75;53;;Ch 11 [2.462 GHz];0 Stations, 58Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
89;6-12-2021 12:46:47;00:3A:7D:34:E9:10;Cisco Systems Inc.;eduroam;-75;53;;Ch 6 [2.437 GHz];0 Stations, 20Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
92;6-12-2021 12:46:47;84:3D:C6:B9:27:4F;Cisco Systems Inc.;eduroam;-69;70;;Ch 132 [5.660 GHz];6 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];6
93;6-12-2021 12:46:47;00:3A:7D:12:43:BF;Cisco Systems Inc.;eduroam;-72;62;;Ch 104 [5.520 GHz];6 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];6
95;6-12-2021 12:46:47;84:3D:C6:AD:B5:5F;Cisco Systems Inc.;eduroam;-70;67;;Ch 40 [5.200 GHz];7 Stations, 5Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
104;6-12-2021 12:46:47;00:3A:7D:34:7C:40;Cisco Systems Inc.;eduroam;-69;70;;Ch 11 [2.462 GHz];0 Stations, 57Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
110;6-12-2021 12:46:47;00:3A:7D:27:B9:C0;Cisco Systems Inc.;eduroam;-77;46;;Ch 1 [2.412 GHz];1 Station, 59Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
111;6-12-2021 12:46:47;00:3A:7D:27:B9:60;Cisco Systems Inc.;eduroam;-77;46;;Ch 1 [2.412 GHz];0 Stations, 58Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
115;6-12-2021 12:46:47;84:3D:C6:AD:B5:8F;Cisco Systems Inc.;eduroam;-65;80;;Ch 140 [5.700 GHz];3 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
116;6-12-2021 12:46:47;84:3D:C6:BD:4C:AF;Cisco Systems Inc.;eduroam;-75;53;;Ch 140 [5.700 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
118;6-12-2021 12:46:47;84:3D:C6:AD:7B:4F;Cisco Systems Inc.;eduroam;-69;70;;Ch 116 [5.580 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
121;6-12-2021 12:46:47;00:3A:7D:34:E9:1F;Cisco Systems Inc.;eduroam;-80;38;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
123;6-12-2021 12:46:47;84:3D:C6:C7:C1:D0;Cisco Systems Inc.;eduroam;-60;82;;Ch 11 [2.462 GHz];0 Stations, 66Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
127;6-12-2021 12:46:47;84:3D:C6:AD:B5:50;Cisco Systems Inc.;eduroam;-61;82;;Ch 6 [2.437 GHz];2 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
134;6-12-2021 12:46:47;00:3A:7D:12:43:B0;Cisco Systems Inc.;eduroam;-68;72;;Ch 1 [2.412 GHz];1 Station, 59Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
136;6-12-2021 12:46:47;84:3D:C6:C7:C1:DF;Cisco Systems Inc.;eduroam;-59;82;;Ch 36 [5.180 GHz];3 Stations, 6Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
137;6-12-2021 12:46:47;84:3D:C6:B8:FB:0F;Cisco Systems Inc.;eduroam;-61;82;;Ch 100 [5.500 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
140;6-12-2021 12:46:47;84:3D:C6:B4:E3:90;Cisco Systems Inc.;eduroam;-69;70;;Ch 11 [2.462 GHz];0 Stations, 48Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
141;6-12-2021 12:46:47;00:3A:7D:12:41:20;Cisco Systems Inc.;eduroam;-71;65;;Ch 11 [2.462 GHz];2 Stations, 49Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
145;6-12-2021 12:46:47;00:3A:7D:1E:DD:C0;Cisco Systems Inc.;eduroam;-78;43;;Ch 6 [2.437 GHz];0 Stations, 32Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
154;6-12-2021 12:46:47;84:3D:C6:B4:E3:9F;Cisco Systems Inc.;eduroam;-74;57;;Ch 36 [5.180 GHz];1 Station, 2Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
157;6-12-2021 12:46:47;00:3A:7D:12:41:2F;Cisco Systems Inc.;eduroam;-76;50;;Ch 44 [5.220 GHz];11 Stations, 40Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];11
162;6-12-2021 12:46:47;84:3D:C6:B8:FB:00;Cisco Systems Inc.;eduroam;-60;82;;Ch 1 [2.412 GHz];0 Stations, 39Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
164;6-12-2021 12:46:47;84:3D:C6:AD:B5:80;Cisco Systems Inc.;eduroam;-64;80;;Ch 1 [2.412 GHz];2 Stations, 35Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
165;6-12-2021 12:46:47;84:3D:C6:BD:4C:A0;Cisco Systems Inc.;eduroam;-66;78;;Ch 1 [2.412 GHz];0 Stations, 59Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
169;6-12-2021 12:46:47;84:3D:C6:B9:27:40;Cisco Systems Inc.;eduroam;-70;67;;Ch 6 [2.437 GHz];1 Station, 45Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
170;6-12-2021 12:46:47;84:3D:C6:B9:38:E0;Cisco Systems Inc.;eduroam;-78;43;;Ch 6 [2.437 GHz];0 Stations, 31Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
178;6-12-2021 12:46:47;84:3D:C6:AD:AF:90;Cisco Systems Inc.;eduroam;-76;50;;Ch 11 [2.462 GHz];1 Station, 61Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
182;6-12-2021 12:46:47;84:3D:C6:B8:F6:60;Cisco Systems Inc.;eduroam;-79;40;;Ch 6 [2.437 GHz];2 Stations, 53Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
188;6-12-2021 12:46:47;84:3D:C6:C7:F3:BF;Cisco Systems Inc.;eduroam;-77;46;;Ch 100 [5.500 GHz];1 Station, 3Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
190;6-12-2021 12:46:47;84:3D:C6:C7:ED:EF;Cisco Systems Inc.;eduroam;-78;43;;Ch 116 [5.580 GHz];1 Station, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
199;6-12-2021 12:46:47;00:3A:7D:34:E0:E0;Cisco Systems Inc.;eduroam;-77;46;;Ch 11 [2.462 GHz];1 Station, 50Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
202;6-12-2021 12:46:47;00:3A:7D:34:7C:4F;Cisco Systems Inc.;eduroam;-81;35;;Ch 60 [5.300 GHz];5 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
