;date;mac;provider;access_point;signal_strength;quality;unknown2;frequency;stations;device;station_count
34;6-12-2021 13:09:04;00:3A:7D:34:E9:10;Cisco Systems Inc.;eduroam;-82;33;;Ch 6 [2.437 GHz];1 Station, 53Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
37;6-12-2021 13:09:04;84:3D:C6:B9:27:4F;Cisco Systems Inc.;eduroam;-79;40;;Ch 132 [5.660 GHz];4 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];4
52;6-12-2021 13:09:04;84:3D:C6:D5:27:50;Cisco Systems Inc.;eduroam;-51;87;;Ch 11 [2.462 GHz];0 Stations, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
55;6-12-2021 13:09:04;00:3A:7D:44:92:40;Cisco Systems Inc.;eduroam;-71;65;;Ch 11 [2.462 GHz];1 Station, 78Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
61;6-12-2021 13:09:04;00:3A:7D:1E:DD:C0;Cisco Systems Inc.;eduroam;-78;43;;Ch 6 [2.437 GHz];1 Station, 33Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
70;6-12-2021 13:09:04;84:3D:C6:B4:E3:9F;Cisco Systems Inc.;eduroam;-68;72;;Ch 36 [5.180 GHz];3 Stations, 10Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
73;6-12-2021 13:09:04;00:3A:7D:12:41:2F;Cisco Systems Inc.;eduroam;-79;40;;Ch 44 [5.220 GHz];8 Stations, 4Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];8
82;6-12-2021 13:09:04;84:3D:C6:B8:FB:00;Cisco Systems Inc.;eduroam;-79;40;;Ch 1 [2.412 GHz];1 Station, 57Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
83;6-12-2021 13:09:04;00:3A:7D:34:7D:40;Cisco Systems Inc.;eduroam;-71;65;;Ch 6 [2.437 GHz];4 Stations, 36Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];4
85;6-12-2021 13:09:04;84:3D:C6:AD:B5:80;Cisco Systems Inc.;eduroam;-64;80;;Ch 1 [2.412 GHz];1 Station, 47Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
86;6-12-2021 13:09:04;84:3D:C6:BD:4C:A0;Cisco Systems Inc.;eduroam;-70;67;;Ch 1 [2.412 GHz];2 Stations, 60Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
90;6-12-2021 13:09:04;84:3D:C6:B9:27:40;Cisco Systems Inc.;eduroam;-65;80;;Ch 6 [2.437 GHz];1 Station, 54Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
91;6-12-2021 13:09:04;84:3D:C6:B9:38:E0;Cisco Systems Inc.;eduroam;-72;62;;Ch 6 [2.437 GHz];0 Stations, 40Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
96;6-12-2021 13:09:04;84:3D:C6:B9:02:70;Cisco Systems Inc.;eduroam;-72;62;;Ch 1 [2.412 GHz];0 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
101;6-12-2021 13:09:04;84:3D:C6:C7:C1:80;Cisco Systems Inc.;eduroam;-80;38;;Ch 6 [2.437 GHz];1 Station, 38Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
107;6-12-2021 13:09:04;84:3D:C6:B9:02:7F;Cisco Systems Inc.;eduroam;-64;80;;Ch 116 [5.580 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
110;6-12-2021 13:09:04;84:3D:C6:D5:27:5F;Cisco Systems Inc.;eduroam;-43;92;;Ch 64 [5.320 GHz];17 Stations, 8Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];17
122;6-12-2021 13:09:04;00:3A:7D:34:E6:2F;Cisco Systems Inc.;eduroam;-77;46;;Ch 36 [5.180 GHz];15 Stations, 7Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];15
138;6-12-2021 13:09:04;84:3D:C6:B8:F9:DF;Cisco Systems Inc.;eduroam;-78;43;;Ch 140 [5.700 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
141;6-12-2021 13:09:04;00:3A:7D:34:D9:10;Cisco Systems Inc.;eduroam;-63;81;;Ch 6 [2.437 GHz];4 Stations, 41Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];4
148;6-12-2021 13:09:04;84:3D:C6:BD:42:70;Cisco Systems Inc.;eduroam;-58;83;;Ch 1 [2.412 GHz];3 Stations, 29Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
149;6-12-2021 13:09:04;00:3A:7D:44:92:4F;Cisco Systems Inc.;eduroam;-67;75;;Ch 52 [5.260 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
154;6-12-2021 13:09:04;84:3D:C6:B8:F9:D0;Cisco Systems Inc.;eduroam;-74;57;;Ch 1 [2.412 GHz];3 Stations, 34Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
163;6-12-2021 13:09:04;00:3A:7D:27:B9:EF;Cisco Systems Inc.;eduroam;-77;46;;Ch 40 [5.200 GHz];34 Stations, 10Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];34
169;6-12-2021 13:09:04;84:3D:C6:B8:E8:4F;Cisco Systems Inc.;eduroam;-63;81;;Ch 116 [5.580 GHz];1 Station, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
180;6-12-2021 13:09:04;84:3D:C6:B9:2E:0F;Cisco Systems Inc.;eduroam;-75;82;;Ch 64 [5.320 GHz];9 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];9
185;6-12-2021 13:09:04;84:3D:C6:B9:2E:00;Cisco Systems Inc.;eduroam;-64;80;;Ch 1 [2.412 GHz];2 Stations, 35Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
190;6-12-2021 13:09:04;84:3D:C6:B8:E8:40;Cisco Systems Inc.;eduroam;-70;67;;Ch 11 [2.462 GHz];0 Stations, 60Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
199;6-12-2021 13:09:04;84:3D:C6:C7:BC:D0;Cisco Systems Inc.;eduroam;-66;78;;Ch 11 [2.462 GHz];0 Stations, 65Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
201;6-12-2021 13:09:04;84:3D:C6:BD:42:7F;Cisco Systems Inc.;eduroam;-60;82;;Ch 100 [5.500 GHz];15 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];15
208;6-12-2021 13:09:04;84:3D:C6:C7:BC:DF;Cisco Systems Inc.;eduroam;-77;46;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
209;6-12-2021 13:09:04;00:3A:7D:27:B9:E0;Cisco Systems Inc.;eduroam;-70;67;;Ch 1 [2.412 GHz];6 Stations, 58Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];6
220;6-12-2021 13:09:04;84:3D:C6:BD:31:0F;Cisco Systems Inc.;eduroam;-79;40;;Ch 116 [5.580 GHz];0 Stations, 4Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
