date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
2021-12-03 5:07:58 PM,84:3D:C6:B8:F3:50,"""""","""eduroam""",-66,78,,"""Ch 11 [2.462 GHz]""","""3 Stations, 41Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:07:58 PM,00:3A:7D:21:43:70,"""""","""eduroam""",-71,65,,"""Ch 6 [2.437 GHz]""","""0 Stations, 51Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 5:07:58 PM,84:3D:C6:C7:F1:E0,"""""","""eduroam""",-70,67,,"""Ch 6 [2.437 GHz]""","""2 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:07:58 PM,84:3D:C6:AD:B3:DF,"""""","""eduroam""",-67,75,,"""Ch 60 [5.300 GHz]""","""4 Stations, 8Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:07:58 PM,84:3D:C6:C7:C2:0F,"""""","""eduroam""",-57,84,,"""Ch 36 [5.180 GHz]""","""2 Stations, 1Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:07:58 PM,00:3A:7D:34:EB:6F,"""""","""eduroam""",-70,67,,"""Ch 44 [5.220 GHz]""","""5 Stations, 23Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","5
"
2021-12-03 5:07:58 PM,84:3D:C6:AD:B3:D0,"""""","""eduroam""",-64,80,,"""Ch 11 [2.462 GHz]""","""1 Station, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:07:58 PM,00:3A:7D:34:EB:60,"""""","""eduroam""",-59,83,,"""Ch 6 [2.437 GHz]""","""2 Stations, 49Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:07:58 PM,84:3D:C6:AD:80:60,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""3 Stations, 35Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:07:58 PM,00:3A:7D:27:BA:30,"""""","""eduroam""",-66,78,,"""Ch 1 [2.412 GHz]""","""3 Stations, 44Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:07:58 PM,84:3D:C6:C7:C2:00,"""""","""eduroam""",-51,86,,"""Ch 1 [2.412 GHz]""","""2 Stations, 36Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:03 PM,84:3D:C6:B8:F3:50,"""""","""eduroam""",-66,78,,"""Ch 11 [2.462 GHz]""","""3 Stations, 41Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:03 PM,00:3A:7D:21:43:70,"""""","""eduroam""",-71,65,,"""Ch 6 [2.437 GHz]""","""0 Stations, 51Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 5:08:03 PM,84:3D:C6:C7:F1:E0,"""""","""eduroam""",-70,67,,"""Ch 6 [2.437 GHz]""","""2 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:03 PM,84:3D:C6:AD:B3:DF,"""""","""eduroam""",-73,60,,"""Ch 60 [5.300 GHz]""","""4 Stations, 14Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:08:03 PM,84:3D:C6:C7:C2:0F,"""""","""eduroam""",-59,83,,"""Ch 36 [5.180 GHz]""","""2 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:04 PM,00:3A:7D:34:EB:6F,"""""","""eduroam""",-75,53,,"""Ch 44 [5.220 GHz]""","""5 Stations, 18Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","5
"
2021-12-03 5:08:04 PM,84:3D:C6:AD:B3:D0,"""""","""eduroam""",-61,82,,"""Ch 11 [2.462 GHz]""","""1 Station, 38Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:04 PM,00:3A:7D:34:EB:60,"""""","""eduroam""",-67,75,,"""Ch 6 [2.437 GHz]""","""2 Stations, 50Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:04 PM,84:3D:C6:AD:80:60,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""3 Stations, 35Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:04 PM,00:3A:7D:27:BA:30,"""""","""eduroam""",-66,78,,"""Ch 1 [2.412 GHz]""","""3 Stations, 44Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:04 PM,84:3D:C6:C7:C2:00,"""""","""eduroam""",-51,87,,"""Ch 1 [2.412 GHz]""","""2 Stations, 37Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:09 PM,84:3D:C6:B8:F3:50,"""""","""eduroam""",-70,67,,"""Ch 11 [2.462 GHz]""","""3 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:09 PM,00:3A:7D:21:43:70,"""""","""eduroam""",-72,62,,"""Ch 6 [2.437 GHz]""","""0 Stations, 52Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 5:08:09 PM,84:3D:C6:C7:F1:E0,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""1 Station, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:09 PM,84:3D:C6:AD:B3:DF,"""""","""eduroam""",-68,72,,"""Ch 60 [5.300 GHz]""","""4 Stations, 0Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:08:09 PM,84:3D:C6:C7:C2:0F,"""""","""eduroam""",-56,85,,"""Ch 36 [5.180 GHz]""","""2 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:09 PM,00:3A:7D:34:EB:6F,"""""","""eduroam""",-69,70,,"""Ch 44 [5.220 GHz]""","""5 Stations, 9Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","5
"
2021-12-03 5:08:09 PM,84:3D:C6:AD:B3:D0,"""""","""eduroam""",-63,81,,"""Ch 11 [2.462 GHz]""","""1 Station, 35Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:09 PM,00:3A:7D:34:EB:60,"""""","""eduroam""",-60,82,,"""Ch 6 [2.437 GHz]""","""1 Station, 55Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:09 PM,84:3D:C6:AD:80:60,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""3 Stations, 35Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:09 PM,00:3A:7D:27:BA:30,"""""","""eduroam""",-64,80,,"""Ch 1 [2.412 GHz]""","""3 Stations, 45Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:09 PM,84:3D:C6:C7:C2:00,"""""","""eduroam""",-50,88,,"""Ch 1 [2.412 GHz]""","""2 Stations, 37Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:14 PM,84:3D:C6:B8:F3:50,"""""","""eduroam""",-70,67,,"""Ch 11 [2.462 GHz]""","""3 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:14 PM,00:3A:7D:21:43:70,"""""","""eduroam""",-72,62,,"""Ch 6 [2.437 GHz]""","""0 Stations, 52Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 5:08:14 PM,84:3D:C6:C7:F1:E0,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""1 Station, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:14 PM,84:3D:C6:AD:B3:DF,"""""","""eduroam""",-69,70,,"""Ch 60 [5.300 GHz]""","""4 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:08:14 PM,84:3D:C6:C7:C2:0F,"""""","""eduroam""",-57,84,,"""Ch 36 [5.180 GHz]""","""2 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:14 PM,00:3A:7D:34:EB:6F,"""""","""eduroam""",-73,60,,"""Ch 44 [5.220 GHz]""","""4 Stations, 6Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:08:14 PM,84:3D:C6:AD:B3:D0,"""""","""eduroam""",-57,84,,"""Ch 11 [2.462 GHz]""","""1 Station, 43Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:14 PM,00:3A:7D:34:EB:60,"""""","""eduroam""",-63,81,,"""Ch 6 [2.437 GHz]""","""1 Station, 45Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 5:08:14 PM,84:3D:C6:AD:80:60,"""""","""eduroam""",-69,70,,"""Ch 6 [2.437 GHz]""","""3 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:14 PM,00:3A:7D:27:BA:30,"""""","""eduroam""",-66,78,,"""Ch 1 [2.412 GHz]""","""3 Stations, 47Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 5:08:14 PM,84:3D:C6:C7:C2:00,"""""","""eduroam""",-50,88,,"""Ch 1 [2.412 GHz]""","""2 Stations, 39Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 5:08:19 PM,84:3D:C6:B8:F3:50,"""""","""eduroam""",-71,65,,"""Ch 11 [2.462 GHz]""","""4 Stations, 39Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
2021-12-03 5:08:19 PM,00:3A:7D:21:43:70,"""""","""eduroam""",-72,62,,"""Ch 6 [2.437 GHz]""","""0 Stations, 52Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 5:08:19 PM,84:3D:C6:C7:F1:E0,"""""","""eduroam""",-65,80,,"""Ch 6 [2.437 GHz]""","""1 Station, 34Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
