date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
﻿06/12/2021 17:03:59,84:3D:C6:B8:F7:EF,"""""","""eduroam""",-71,65,,"""Ch 60 [5.300 GHz]""","""2 Stations, 0Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","2
"
06/12/2021 17:03:59,84:3D:C6:C7:C1:80,"""""","""eduroam""",-73,60,,"""Ch 6 [2.437 GHz]""","""2 Stations, 41Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","2
"
06/12/2021 17:03:59,00:A6:CA:5B:47:EF,"""""","""eduroam""",-79,40,,"""Ch 48 [5.240 GHz]""","""6 Stations, 1Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","6
"
06/12/2021 17:03:59,00:A6:CA:57:39:80,"""""","""eduroam""",-79,40,,"""Ch 6 [2.437 GHz]""","""1 Station, 46Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","1
"
06/12/2021 17:03:59,84:3D:C6:B9:02:A0,"""""","""eduroam""",-77,46,,"""Ch 11 [2.462 GHz]""","""4 Stations, 65Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","4
"
06/12/2021 17:03:59,84:3D:C6:B9:20:EF,"""""","""eduroam""",-78,43,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","2
"
06/12/2021 17:03:59,00:A6:CA:5A:6B:00,"""""","""eduroam""",-79,40,,"""Ch 6 [2.437 GHz]""","""5 Stations, 43Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","5
"
06/12/2021 17:03:59,00:A6:CA:5B:48:6F,"""""","""eduroam""",-79,40,,"""Ch 132 [5.660 GHz]""","""17 Stations, 0Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","17
"
06/12/2021 17:03:59,00:A6:CA:57:36:80,"""""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""3 Stations, 43Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","3
"
06/12/2021 17:03:59,00:3A:7D:21:47:5F,"""""","""eduroam""",-79,40,,"""Ch 48 [5.240 GHz]""","""0 Stations, 3Xhannel Utilization""","""WiFi [Intel(R) Dual Band Wireless-AC 8265]""","0
"
