date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
2021/12/6 17:20:08,00:3A:7D:12:43:C0,"""Cisco Systems Inc.""","""eduroam""",-77,38,,"""Ch 11 [2.462 GHz]""","""5 Stations, 44Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","5
"
2021/12/6 17:20:08,00:3A:7D:27:B7:20,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 1 [2.412 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:08,00:3A:7D:1E:E0:C0,"""Cisco Systems Inc.""","""eduroam""",-58,70,,"""Ch 11 [2.462 GHz]""","""0 Stations, 50Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:08,00:3A:7D:27:B4:AF,"""Cisco Systems Inc.""","""eduroam""",-84,26,,"""Ch 48 [5.240 GHz]""","""8 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","8
"
2021/12/6 17:20:08,00:3A:7D:27:B9:D0,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 6 [2.437 GHz]""","""1 Station, 33Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 17:20:08,00:3A:7D:34:E6:80,"""Cisco Systems Inc.""","""eduroam""",-67,55,,"""Ch 6 [2.437 GHz]""","""2 Stations, 53Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,84:3D:C6:B8:F8:C0,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 6 [2.437 GHz]""","""0 Stations, 23Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:08,84:3D:C6:C7:C1:80,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 6 [2.437 GHz]""","""2 Stations, 40Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,00:3A:7D:34:D9:10,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 6 [2.437 GHz]""","""2 Stations, 32Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,00:3A:7D:27:B4:A0,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 11 [2.462 GHz]""","""0 Stations, 46Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:08,00:3A:7D:34:EB:40,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 1 [2.412 GHz]""","""1 Station, 65Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 17:20:08,00:3A:7D:27:B9:F0,"""Cisco Systems Inc.""","""eduroam""",-39,99,,"""Ch 1 [2.412 GHz]""","""2 Stations, 62Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,84:3D:C6:B9:02:A0,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 11 [2.462 GHz]""","""2 Stations, 52Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,00:3A:7D:27:B7:2F,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 132 [5.660 GHz]""","""6 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","6
"
2021/12/6 17:20:08,00:3A:7D:27:B9:FF,"""Cisco Systems Inc.""","""eduroam""",-57,71,,"""Ch 132 [5.660 GHz]""","""8 Stations, 2Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","8
"
2021/12/6 17:20:08,84:3D:C6:C7:BF:D0,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 6 [2.437 GHz]""","""1 Station, 21Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 17:20:08,00:3A:7D:27:B8:60,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 11 [2.462 GHz]""","""1 Station, 55Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 17:20:08,00:3A:7D:1E:E0:CF,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 60 [5.300 GHz]""","""2 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 17:20:08,00:3A:7D:21:47:50,"""Cisco Systems Inc.""","""eduroam""",-66,56,,"""Ch 11 [2.462 GHz]""","""1 Station, 45Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 17:20:08,00:3A:7D:21:47:5F,"""Cisco Systems Inc.""","""eduroam""",-79,35,,"""Ch 48 [5.240 GHz]""","""0 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:08,00:3A:7D:34:E6:50,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 11 [2.462 GHz]""","""0 Stations, 52Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:13,00:3A:7D:27:B7:20,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 1 [2.412 GHz]""","""0 Stations, 57Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:13,00:3A:7D:1E:E0:C0,"""Cisco Systems Inc.""","""eduroam""",-55,75,,"""Ch 11 [2.462 GHz]""","""0 Stations, 51Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 17:20:13,00:3A:7D:27:B4:AF,"""Cisco Systems Inc.""","""eduroam""",-84,26,,"""Ch 48 [5.240 GHz]""","""8 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","8
"
2021/12/6 17:20:13,00:3A:7D:27:B9:D0,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 6 [2.437 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
