date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
2021/12/6 16:18:55,84:3D:C6:B9:25:00,"""Cisco Systems Inc.""","""eduroam""",-39,99,,"""Ch 11 [2.462 GHz]""","""0 Stations, 21Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:18:55,00:3A:7D:34:EC:30,"""Cisco Systems Inc.""","""eduroam""",-54,76,,"""Ch 1 [2.412 GHz]""","""0 Stations, 50Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:18:55,00:3A:7D:1E:DF:30,"""Cisco Systems Inc.""","""eduroam""",-50,83,,"""Ch 11 [2.462 GHz]""","""2 Stations, 26Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:18:55,84:3D:C6:B8:EC:40,"""Cisco Systems Inc.""","""eduroam""",-61,65,,"""Ch 6 [2.437 GHz]""","""2 Stations, 12Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:18:55,00:3A:7D:34:E3:CF,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 64 [5.320 GHz]""","""9 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","9
"
2021/12/6 16:18:55,00:3A:7D:34:7A:40,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 11 [2.462 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:18:55,84:3D:C6:B9:29:80,"""Cisco Systems Inc.""","""eduroam""",-60,66,,"""Ch 11 [2.462 GHz]""","""3 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:18:55,00:3A:7D:27:AF:80,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 6 [2.437 GHz]""","""3 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:00,84:3D:C6:C7:C2:8F,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 116 [5.580 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:01,84:3D:C6:C7:C2:80,"""Cisco Systems Inc.""","""eduroam""",-65,58,,"""Ch 1 [2.412 GHz]""","""0 Stations, 23Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,00:3A:7D:34:EC:3F,"""Cisco Systems Inc.""","""eduroam""",-68,53,,"""Ch 132 [5.660 GHz]""","""11 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","11
"
2021/12/6 16:19:01,00:3A:7D:34:E3:C0,"""Cisco Systems Inc.""","""eduroam""",-65,58,,"""Ch 6 [2.437 GHz]""","""3 Stations, 28Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:01,84:3D:C6:B9:25:0F,"""Cisco Systems Inc.""","""eduroam""",-56,99,,"""Ch 100 [5.500 GHz]""","""14 Stations, 3Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","14
"
2021/12/6 16:19:01,84:3D:C6:C7:C3:FF,"""Cisco Systems Inc.""","""eduroam""",-83,28,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,84:3D:C6:B9:29:8F,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 64 [5.320 GHz]""","""12 Stations, 4Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","12
"
2021/12/6 16:19:01,84:3D:C6:B9:25:00,"""Cisco Systems Inc.""","""eduroam""",-39,99,,"""Ch 11 [2.462 GHz]""","""0 Stations, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,00:3A:7D:34:EC:30,"""Cisco Systems Inc.""","""eduroam""",-54,76,,"""Ch 1 [2.412 GHz]""","""0 Stations, 50Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,00:3A:7D:1E:DF:30,"""Cisco Systems Inc.""","""eduroam""",-50,83,,"""Ch 11 [2.462 GHz]""","""2 Stations, 26Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:01,84:3D:C6:B8:EC:40,"""Cisco Systems Inc.""","""eduroam""",-63,61,,"""Ch 6 [2.437 GHz]""","""2 Stations, 14Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:01,84:3D:C6:C7:C3:F0,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 11 [2.462 GHz]""","""0 Stations, 16Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,84:3D:C6:B8:EC:4F,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 48 [5.240 GHz]""","""0 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,00:A6:CA:57:38:20,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 11 [2.462 GHz]""","""0 Stations, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:01,00:3A:7D:34:E3:CF,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 64 [5.320 GHz]""","""9 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","9
"
2021/12/6 16:19:01,00:3A:7D:34:7A:40,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 11 [2.462 GHz]""","""1 Station, 35Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:01,84:3D:C6:B9:29:80,"""Cisco Systems Inc.""","""eduroam""",-57,71,,"""Ch 11 [2.462 GHz]""","""3 Stations, 34Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:01,00:3A:7D:27:AF:80,"""Cisco Systems Inc.""","""eduroam""",-69,51,,"""Ch 6 [2.437 GHz]""","""3 Stations, 30Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:07,84:3D:C6:C7:C2:8F,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 116 [5.580 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:07,84:3D:C6:C7:C2:80,"""Cisco Systems Inc.""","""eduroam""",-64,60,,"""Ch 1 [2.412 GHz]""","""0 Stations, 21Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,00:3A:7D:34:EC:3F,"""Cisco Systems Inc.""","""eduroam""",-68,53,,"""Ch 132 [5.660 GHz]""","""11 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","11
"
2021/12/6 16:19:07,00:3A:7D:34:E3:C0,"""Cisco Systems Inc.""","""eduroam""",-63,61,,"""Ch 6 [2.437 GHz]""","""3 Stations, 31Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:07,84:3D:C6:B9:25:0F,"""Cisco Systems Inc.""","""eduroam""",-57,99,,"""Ch 100 [5.500 GHz]""","""14 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","14
"
2021/12/6 16:19:07,84:3D:C6:C7:C3:FF,"""Cisco Systems Inc.""","""eduroam""",-83,28,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,84:3D:C6:B9:29:8F,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 64 [5.320 GHz]""","""12 Stations, 4Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","12
"
2021/12/6 16:19:07,84:3D:C6:B9:25:00,"""Cisco Systems Inc.""","""eduroam""",-40,99,,"""Ch 11 [2.462 GHz]""","""1 Station, 27Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:07,00:3A:7D:34:EC:30,"""Cisco Systems Inc.""","""eduroam""",-56,73,,"""Ch 1 [2.412 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,00:3A:7D:1E:DF:30,"""Cisco Systems Inc.""","""eduroam""",-51,81,,"""Ch 11 [2.462 GHz]""","""2 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:07,84:3D:C6:B8:EC:40,"""Cisco Systems Inc.""","""eduroam""",-62,63,,"""Ch 6 [2.437 GHz]""","""2 Stations, 14Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:07,84:3D:C6:C7:C3:F0,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 11 [2.462 GHz]""","""0 Stations, 18Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,84:3D:C6:B8:EC:4F,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 48 [5.240 GHz]""","""0 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,00:A6:CA:57:38:20,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 11 [2.462 GHz]""","""0 Stations, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,00:3A:7D:34:7A:40,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 11 [2.462 GHz]""","""1 Station, 46Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:07,84:3D:C6:B9:29:80,"""Cisco Systems Inc.""","""eduroam""",-60,66,,"""Ch 11 [2.462 GHz]""","""3 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:07,84:3D:C6:B9:2A:60,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 1 [2.412 GHz]""","""0 Stations, 11Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:07,00:3A:7D:27:AF:80,"""Cisco Systems Inc.""","""eduroam""",-69,51,,"""Ch 6 [2.437 GHz]""","""3 Stations, 30Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:12,84:3D:C6:C7:C2:8F,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 116 [5.580 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:12,84:3D:C6:C7:C2:80,"""Cisco Systems Inc.""","""eduroam""",-63,61,,"""Ch 1 [2.412 GHz]""","""0 Stations, 20Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:12,00:3A:7D:34:EC:3F,"""Cisco Systems Inc.""","""eduroam""",-68,53,,"""Ch 132 [5.660 GHz]""","""11 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","11
"
2021/12/6 16:19:12,00:3A:7D:34:E3:C0,"""Cisco Systems Inc.""","""eduroam""",-65,58,,"""Ch 6 [2.437 GHz]""","""3 Stations, 30Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:19:13,84:3D:C6:B9:25:0F,"""Cisco Systems Inc.""","""eduroam""",-57,99,,"""Ch 100 [5.500 GHz]""","""14 Stations, 11Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","14
"
2021/12/6 16:19:13,84:3D:C6:C7:C3:FF,"""Cisco Systems Inc.""","""eduroam""",-82,30,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:13,84:3D:C6:B9:29:8F,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 64 [5.320 GHz]""","""12 Stations, 12Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","12
"
2021/12/6 16:19:13,84:3D:C6:B9:25:00,"""Cisco Systems Inc.""","""eduroam""",-40,99,,"""Ch 11 [2.462 GHz]""","""1 Station, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:13,00:3A:7D:34:EC:30,"""Cisco Systems Inc.""","""eduroam""",-56,73,,"""Ch 1 [2.412 GHz]""","""0 Stations, 49Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:13,00:3A:7D:1E:DF:30,"""Cisco Systems Inc.""","""eduroam""",-50,83,,"""Ch 11 [2.462 GHz]""","""2 Stations, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:13,84:3D:C6:B8:EC:40,"""Cisco Systems Inc.""","""eduroam""",-56,73,,"""Ch 6 [2.437 GHz]""","""2 Stations, 11Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:19:13,2C:D0:2D:98:09:A0,"""Cisco Systems Inc.""","""eduroam""",-83,28,,"""Ch 1 [2.412 GHz]""","""0 Stations, 9Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:13,84:3D:C6:C7:C3:F0,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 11 [2.462 GHz]""","""0 Stations, 18Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:13,84:3D:C6:B8:EC:4F,"""Cisco Systems Inc.""","""eduroam""",-77,38,,"""Ch 48 [5.240 GHz]""","""1 Station, 4Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:13,00:A6:CA:57:38:20,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 11 [2.462 GHz]""","""0 Stations, 25Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:19:13,00:3A:7D:1E:DF:3F,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 40 [5.200 GHz]""","""7 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","7
"
2021/12/6 16:19:13,00:3A:7D:34:7A:40,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 11 [2.462 GHz]""","""1 Station, 27Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:19:13,84:3D:C6:B9:29:80,"""Cisco Systems Inc.""","""eduroam""",-60,66,,"""Ch 11 [2.462 GHz]""","""3 Stations, 34Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
