;date;mac;provider;access_point;signal_strength;quality;unknown2;frequency;stations;device;station_count
0;﻿3-12-2021 12:46:49;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
25;3-12-2021 12:46:49;00:A6:CA:5A:6F:80;;eduroam;-79;40;;Ch 11 [2.462 GHz];1 Station, 33Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
26;3-12-2021 12:46:49;84:3D:C6:B9:1B:60;;eduroam;-76;50;;Ch 1 [2.412 GHz];0 Stations, 26Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
27;3-12-2021 12:46:49;00:A6:CA:5E:1C:90;;eduroam;-78;43;;Ch 11 [2.462 GHz];3 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
32;3-12-2021 12:46:49;84:3D:C6:B9:1B:6F;;eduroam;-73;60;;Ch 104 [5.520 GHz];1 Station, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
38;3-12-2021 12:46:49;84:3D:C6:62:D2:BF;;eduroam;-60;82;;Ch 64 [5.320 GHz];0 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
44;3-12-2021 12:46:49;84:3D:C6:B4:E4:0F;;eduroam;-46;90;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
48;3-12-2021 12:46:49;84:3D:C6:B9:2A:CF;;eduroam;-33;98;;Ch 116 [5.580 GHz];7 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
54;3-12-2021 12:46:49;84:3D:C6:BD:51:EF;;eduroam;-67;75;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
55;3-12-2021 12:46:49;00:A6:CA:44:6E:80;;eduroam;-81;35;;Ch 6 [2.437 GHz];1 Station, 20Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
66;3-12-2021 12:46:49;84:3D:C6:B4:E4:00;;eduroam;-51;87;;Ch 6 [2.437 GHz];0 Stations, 6Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
76;3-12-2021 12:46:49;84:3D:C6:BD:51:E0;;eduroam;-58;83;;Ch 11 [2.462 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
77;3-12-2021 12:46:49;84:3D:C6:62:D2:B0;;eduroam;-64;80;;Ch 11 [2.462 GHz];2 Stations, 25Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
83;3-12-2021 12:46:49;84:3D:C6:B9:2A:C0;;eduroam;-48;89;;Ch 1 [2.412 GHz];1 Station, 15Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
86;3-12-2021 12:46:54;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
111;3-12-2021 12:46:54;00:A6:CA:5A:6F:80;;eduroam;-79;40;;Ch 11 [2.462 GHz];1 Station, 33Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
112;3-12-2021 12:46:54;84:3D:C6:B9:1B:60;;eduroam;-78;43;;Ch 1 [2.412 GHz];0 Stations, 23Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
113;3-12-2021 12:46:54;00:A6:CA:5E:1C:90;;eduroam;-78;43;;Ch 11 [2.462 GHz];3 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
118;3-12-2021 12:46:54;84:3D:C6:B9:1B:6F;;eduroam;-74;57;;Ch 104 [5.520 GHz];1 Station, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
124;3-12-2021 12:46:54;84:3D:C6:62:D2:BF;;eduroam;-54;86;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
130;3-12-2021 12:46:54;84:3D:C6:B4:E4:0F;;eduroam;-54;86;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
134;3-12-2021 12:46:54;84:3D:C6:B9:2A:CF;;eduroam;-33;98;;Ch 116 [5.580 GHz];7 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
140;3-12-2021 12:46:54;84:3D:C6:BD:51:EF;;eduroam;-71;65;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
141;3-12-2021 12:46:54;00:A6:CA:44:6E:80;;eduroam;-81;35;;Ch 6 [2.437 GHz];1 Station, 20Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
152;3-12-2021 12:46:54;84:3D:C6:B4:E4:00;;eduroam;-55;85;;Ch 6 [2.437 GHz];0 Stations, 7Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
162;3-12-2021 12:46:54;84:3D:C6:BD:51:E0;;eduroam;-60;82;;Ch 11 [2.462 GHz];0 Stations, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
163;3-12-2021 12:46:54;84:3D:C6:62:D2:B0;;eduroam;-58;83;;Ch 11 [2.462 GHz];2 Stations, 25Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
169;3-12-2021 12:46:54;84:3D:C6:B9:2A:C0;;eduroam;-51;87;;Ch 1 [2.412 GHz];1 Station, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
172;3-12-2021 12:46:59;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
197;3-12-2021 12:46:59;00:A6:CA:5A:6F:80;;eduroam;-81;35;;Ch 11 [2.462 GHz];2 Stations, 31Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
198;3-12-2021 12:46:59;84:3D:C6:B9:1B:60;;eduroam;-79;40;;Ch 1 [2.412 GHz];0 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
199;3-12-2021 12:46:59;00:A6:CA:5E:1C:90;;eduroam;-78;43;;Ch 11 [2.462 GHz];3 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
204;3-12-2021 12:46:59;84:3D:C6:B9:1B:6F;;eduroam;-72;62;;Ch 104 [5.520 GHz];1 Station, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
210;3-12-2021 12:46:59;84:3D:C6:62:D2:BF;;eduroam;-59;83;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
216;3-12-2021 12:46:59;84:3D:C6:B4:E4:0F;;eduroam;-59;83;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
220;3-12-2021 12:46:59;84:3D:C6:B9:2A:CF;;eduroam;-33;98;;Ch 116 [5.580 GHz];7 Stations, 5Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
226;3-12-2021 12:46:59;84:3D:C6:BD:51:EF;;eduroam;-68;72;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
227;3-12-2021 12:46:59;00:A6:CA:44:6E:80;;eduroam;-81;35;;Ch 6 [2.437 GHz];1 Station, 20Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
238;3-12-2021 12:46:59;84:3D:C6:B4:E4:00;;eduroam;-55;85;;Ch 6 [2.437 GHz];0 Stations, 5Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
248;3-12-2021 12:46:59;84:3D:C6:BD:51:E0;;eduroam;-60;82;;Ch 11 [2.462 GHz];0 Stations, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
249;3-12-2021 12:46:59;84:3D:C6:62:D2:B0;;eduroam;-58;83;;Ch 11 [2.462 GHz];2 Stations, 25Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
