;date;mac;provider;access_point;signal_strength;quality;unknown2;frequency;stations;device;station_count
255;3-12-2021 12:46:59;84:3D:C6:B9:2A:C0;;eduroam;-50;88;;Ch 1 [2.412 GHz];1 Station, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
258;3-12-2021 12:47:04;84:3D:C6:B9:2A:CF;;eduroam;-33;98;;Ch 116 [5.580 GHz];7 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
259;3-12-2021 12:47:04;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
284;3-12-2021 12:47:04;00:A6:CA:5A:6F:80;;eduroam;-81;35;;Ch 11 [2.462 GHz];2 Stations, 31Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
285;3-12-2021 12:47:04;84:3D:C6:B9:1B:60;;eduroam;-74;57;;Ch 1 [2.412 GHz];0 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
286;3-12-2021 12:47:04;00:A6:CA:5E:1C:90;;eduroam;-78;43;;Ch 11 [2.462 GHz];3 Stations, 24Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
291;3-12-2021 12:47:04;84:3D:C6:B9:1B:6F;;eduroam;-75;53;;Ch 104 [5.520 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
297;3-12-2021 12:47:04;84:3D:C6:62:D2:BF;;eduroam;-55;85;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
303;3-12-2021 12:47:04;84:3D:C6:B4:E4:0F;;eduroam;-55;85;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
312;3-12-2021 12:47:04;84:3D:C6:BD:51:EF;;eduroam;-70;67;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
313;3-12-2021 12:47:04;00:A6:CA:44:6E:80;;eduroam;-81;35;;Ch 6 [2.437 GHz];1 Station, 20Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
324;3-12-2021 12:47:04;84:3D:C6:B4:E4:00;;eduroam;-65;80;;Ch 6 [2.437 GHz];0 Stations, 6Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
334;3-12-2021 12:47:04;84:3D:C6:BD:51:E0;;eduroam;-62;81;;Ch 11 [2.462 GHz];0 Stations, 13Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
335;3-12-2021 12:47:04;84:3D:C6:62:D2:B0;;eduroam;-58;83;;Ch 11 [2.462 GHz];2 Stations, 33Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
341;3-12-2021 12:47:04;84:3D:C6:B9:2A:C0;;eduroam;-51;87;;Ch 1 [2.412 GHz];1 Station, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
349;3-12-2021 12:47:09;00:A6:CA:44:70:60;;eduroam;-83;31;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
350;3-12-2021 12:47:09;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
375;3-12-2021 12:47:09;00:A6:CA:5A:6F:80;;eduroam;-80;38;;Ch 11 [2.462 GHz];2 Stations, 29Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
376;3-12-2021 12:47:09;84:3D:C6:B9:1B:60;;eduroam;-81;35;;Ch 1 [2.412 GHz];0 Stations, 28Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
377;3-12-2021 12:47:09;00:A6:CA:5E:1C:90;;eduroam;-83;31;;Ch 11 [2.462 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
378;3-12-2021 12:47:09;00:A6:CA:5A:5A:80;;eduroam;-82;33;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
383;3-12-2021 12:47:09;84:3D:C6:B9:1B:6F;;eduroam;-70;67;;Ch 104 [5.520 GHz];2 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
389;3-12-2021 12:47:09;84:3D:C6:62:D2:BF;;eduroam;-58;83;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
395;3-12-2021 12:47:09;84:3D:C6:B4:E4:0F;;eduroam;-57;84;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
399;3-12-2021 12:47:09;84:3D:C6:B9:2A:CF;;eduroam;-32;98;;Ch 116 [5.580 GHz];8 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];8
405;3-12-2021 12:47:09;84:3D:C6:BD:51:EF;;eduroam;-72;62;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
406;3-12-2021 12:47:09;00:A6:CA:44:6E:80;;eduroam;-80;38;;Ch 6 [2.437 GHz];1 Station, 19Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
417;3-12-2021 12:47:09;84:3D:C6:B4:E4:00;;eduroam;-52;87;;Ch 6 [2.437 GHz];0 Stations, 7Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
430;3-12-2021 12:47:09;84:3D:C6:BD:51:E0;;eduroam;-60;82;;Ch 11 [2.462 GHz];0 Stations, 18Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
431;3-12-2021 12:47:09;84:3D:C6:62:D2:B0;;eduroam;-66;78;;Ch 11 [2.462 GHz];2 Stations, 33Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
437;3-12-2021 12:47:09;84:3D:C6:B9:2A:C0;;eduroam;-49;88;;Ch 1 [2.412 GHz];1 Station, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
445;3-12-2021 12:47:14;00:A6:CA:44:70:60;;eduroam;-83;31;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
446;3-12-2021 12:47:14;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
471;3-12-2021 12:47:14;00:A6:CA:5A:6F:80;;eduroam;-80;38;;Ch 11 [2.462 GHz];2 Stations, 29Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
472;3-12-2021 12:47:14;84:3D:C6:B9:1B:60;;eduroam;-77;46;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
473;3-12-2021 12:47:14;00:A6:CA:5E:1C:90;;eduroam;-83;31;;Ch 11 [2.462 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
474;3-12-2021 12:47:14;00:A6:CA:5A:5A:80;;eduroam;-82;33;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
479;3-12-2021 12:47:14;84:3D:C6:B9:1B:6F;;eduroam;-76;50;;Ch 104 [5.520 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
485;3-12-2021 12:47:14;84:3D:C6:62:D2:BF;;eduroam;-53;86;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
491;3-12-2021 12:47:14;84:3D:C6:B4:E4:0F;;eduroam;-60;82;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
495;3-12-2021 12:47:14;84:3D:C6:B9:2A:CF;;eduroam;-32;98;;Ch 116 [5.580 GHz];8 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];8
501;3-12-2021 12:47:14;84:3D:C6:BD:51:EF;;eduroam;-71;65;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
502;3-12-2021 12:47:14;00:A6:CA:44:6E:80;;eduroam;-80;38;;Ch 6 [2.437 GHz];1 Station, 19Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
513;3-12-2021 12:47:14;84:3D:C6:B4:E4:00;;eduroam;-58;83;;Ch 6 [2.437 GHz];0 Stations, 5Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
526;3-12-2021 12:47:14;84:3D:C6:BD:51:E0;;eduroam;-70;67;;Ch 11 [2.462 GHz];0 Stations, 18Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
527;3-12-2021 12:47:14;84:3D:C6:62:D2:B0;;eduroam;-55;85;;Ch 11 [2.462 GHz];2 Stations, 40Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
533;3-12-2021 12:47:14;84:3D:C6:B9:2A:C0;;eduroam;-52;87;;Ch 1 [2.412 GHz];1 Station, 14Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
541;3-12-2021 12:47:19;00:A6:CA:44:70:60;;eduroam;-83;31;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
542;3-12-2021 12:47:19;84:3D:C6:B4:E1:E0;;eduroam;-82;33;;Ch 6 [2.437 GHz];0 Stations, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
567;3-12-2021 12:47:19;00:A6:CA:5A:6F:80;;eduroam;-80;38;;Ch 11 [2.462 GHz];2 Stations, 38Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
568;3-12-2021 12:47:19;84:3D:C6:B9:1B:60;;eduroam;-74;57;;Ch 1 [2.412 GHz];0 Stations, 27Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
569;3-12-2021 12:47:19;00:A6:CA:5E:1C:90;;eduroam;-83;31;;Ch 11 [2.462 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
570;3-12-2021 12:47:19;00:A6:CA:5A:5A:80;;eduroam;-82;33;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
575;3-12-2021 12:47:19;84:3D:C6:B9:1B:6F;;eduroam;-72;62;;Ch 104 [5.520 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
581;3-12-2021 12:47:19;84:3D:C6:62:D2:BF;;eduroam;-56;85;;Ch 64 [5.320 GHz];0 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
587;3-12-2021 12:47:19;84:3D:C6:B4:E4:0F;;eduroam;-45;91;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
591;3-12-2021 12:47:19;84:3D:C6:B9:2A:CF;;eduroam;-32;98;;Ch 116 [5.580 GHz];8 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];8
597;3-12-2021 12:47:19;84:3D:C6:BD:51:EF;;eduroam;-69;70;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
598;3-12-2021 12:47:19;00:A6:CA:44:6E:80;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 16Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
609;3-12-2021 12:47:19;84:3D:C6:B4:E4:00;;eduroam;-52;87;;Ch 6 [2.437 GHz];0 Stations, 4Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
622;3-12-2021 12:47:19;84:3D:C6:BD:51:E0;;eduroam;-60;82;;Ch 11 [2.462 GHz];0 Stations, 19Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
623;3-12-2021 12:47:19;84:3D:C6:62:D2:B0;;eduroam;-67;75;;Ch 11 [2.462 GHz];3 Stations, 41Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
629;3-12-2021 12:47:19;84:3D:C6:B9:2A:C0;;eduroam;-51;87;;Ch 1 [2.412 GHz];1 Station, 13Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
637;3-12-2021 12:47:24;00:A6:CA:44:70:60;;eduroam;-83;31;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
638;3-12-2021 12:47:24;84:3D:C6:B4:E1:E0;;eduroam;-82;33;;Ch 6 [2.437 GHz];0 Stations, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
663;3-12-2021 12:47:24;00:A6:CA:5A:6F:80;;eduroam;-80;38;;Ch 11 [2.462 GHz];2 Stations, 38Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
664;3-12-2021 12:47:24;84:3D:C6:B9:1B:60;;eduroam;-81;35;;Ch 1 [2.412 GHz];0 Stations, 23Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
665;3-12-2021 12:47:24;00:A6:CA:5E:1C:90;;eduroam;-83;31;;Ch 11 [2.462 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
666;3-12-2021 12:47:24;00:A6:CA:5A:5A:80;;eduroam;-82;33;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
671;3-12-2021 12:47:24;84:3D:C6:B9:1B:6F;;eduroam;-77;46;;Ch 104 [5.520 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
677;3-12-2021 12:47:24;84:3D:C6:62:D2:BF;;eduroam;-54;86;;Ch 64 [5.320 GHz];0 Stations, 1Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
683;3-12-2021 12:47:24;84:3D:C6:B4:E4:0F;;eduroam;-52;87;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
687;3-12-2021 12:47:24;84:3D:C6:B9:2A:CF;;eduroam;-32;98;;Ch 116 [5.580 GHz];8 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];8
693;3-12-2021 12:47:24;84:3D:C6:BD:51:EF;;eduroam;-72;62;;Ch 36 [5.180 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
694;3-12-2021 12:47:24;00:A6:CA:44:6E:80;;eduroam;-83;31;;Ch 6 [2.437 GHz];0 Stations, 25Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
705;3-12-2021 12:47:24;84:3D:C6:B4:E4:00;;eduroam;-52;87;;Ch 6 [2.437 GHz];0 Stations, 5Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
718;3-12-2021 12:47:24;84:3D:C6:BD:51:E0;;eduroam;-66;78;;Ch 11 [2.462 GHz];0 Stations, 15Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
719;3-12-2021 12:47:24;84:3D:C6:62:D2:B0;;eduroam;-59;83;;Ch 11 [2.462 GHz];3 Stations, 49Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
725;3-12-2021 12:47:24;84:3D:C6:B9:2A:C0;;eduroam;-52;87;;Ch 1 [2.412 GHz];1 Station, 11Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
733;3-12-2021 12:47:30;00:A6:CA:44:70:60;;eduroam;-83;31;;Ch 1 [2.412 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
734;3-12-2021 12:47:30;84:3D:C6:B4:E1:E0;;eduroam;-81;35;;Ch 6 [2.437 GHz];0 Stations, 12Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
759;3-12-2021 12:47:30;00:A6:CA:5A:6F:80;;eduroam;-80;38;;Ch 11 [2.462 GHz];2 Stations, 38Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
760;3-12-2021 12:47:30;84:3D:C6:B9:1B:60;;eduroam;-79;40;;Ch 1 [2.412 GHz];0 Stations, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
761;3-12-2021 12:47:30;00:A6:CA:5E:1C:90;;eduroam;-83;31;;Ch 11 [2.462 GHz];0 Stations, 22Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
762;3-12-2021 12:47:30;00:A6:CA:5A:5A:80;;eduroam;-82;33;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
767;3-12-2021 12:47:30;84:3D:C6:B9:1B:6F;;eduroam;-72;62;;Ch 104 [5.520 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
773;3-12-2021 12:47:30;84:3D:C6:62:D2:BF;;eduroam;-56;85;;Ch 64 [5.320 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
