date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
2021-12-03 1:08:40 PM,84:3D:C6:B9:3A:90,"""""","""eduroam""",-79,40,,"""Ch 6 [2.437 GHz]""","""2 Stations, 52Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 1:08:40 PM,00:3A:7D:21:46:2F,"""""","""eduroam""",-82,33,,"""Ch 132 [5.660 GHz]""","""17 Stations, 28Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","17
"
2021-12-03 1:08:40 PM,00:3A:7D:34:7B:4F,"""""","""eduroam""",-77,46,,"""Ch 100 [5.500 GHz]""","""1 Station, 1Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 1:08:40 PM,84:3D:C6:BD:59:2F,"""""","""eduroam""",-80,38,,"""Ch 140 [5.700 GHz]""","""8 Stations, 5Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","8
"
2021-12-03 1:08:40 PM,84:3D:C6:B9:21:9F,"""""","""eduroam""",-80,38,,"""Ch 132 [5.660 GHz]""","""3 Stations, 10Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
2021-12-03 1:08:40 PM,84:3D:C6:C7:EF:5F,"""""","""eduroam""",-73,60,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
2021-12-03 1:08:40 PM,84:3D:C6:BD:59:20,"""""","""eduroam""",-67,75,,"""Ch 11 [2.462 GHz]""","""0 Stations, 56Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
2021-12-03 1:08:40 PM,84:3D:C6:B4:DF:30,"""""","""eduroam""",-68,72,,"""Ch 1 [2.412 GHz]""","""1 Station, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 1:08:40 PM,84:3D:C6:B9:21:90,"""""","""eduroam""",-63,81,,"""Ch 1 [2.412 GHz]""","""1 Station, 51Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
2021-12-03 1:08:40 PM,84:3D:C6:B9:1A:6F,"""""","""eduroam""",-60,82,,"""Ch 52 [5.260 GHz]""","""2 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
