date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
﻿12/6/2021 5:00:20 PM,84:3D:C6:BD:41:10,"""Cisco Systems Inc.""","""eduroam""",-51,87,,"""Ch 11 [2.462 GHz]""","""1 Station, 22Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 5:00:20 PM,84:3D:C6:BD:59:2F,"""Cisco Systems Inc.""","""eduroam""",-79,40,,"""Ch 140 [5.700 GHz]""","""3 Stations, 0Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","3
"
12/6/2021 5:00:20 PM,00:A6:CA:66:AF:BF,"""Cisco Systems Inc.""","""eduroam""",-85,26,,"""Ch 112 [5.560 GHz]""","""2 Stations, 1Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
12/6/2021 5:00:20 PM,00:A6:CA:66:AD:6F,"""Cisco Systems Inc.""","""eduroam""",-85,26,,"""Ch 104 [5.520 GHz]""","""11 Stations, 13Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","11
"
12/6/2021 5:00:20 PM,84:3D:C6:C7:F1:E0,"""Cisco Systems Inc.""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""0 Stations, 37Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 5:00:20 PM,84:3D:C6:B9:3D:70,"""Cisco Systems Inc.""","""eduroam""",-63,81,,"""Ch 6 [2.437 GHz]""","""0 Stations, 29Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 5:00:20 PM,00:A6:CA:66:AD:60,"""Cisco Systems Inc.""","""eduroam""",-66,78,,"""Ch 6 [2.437 GHz]""","""2 Stations, 27Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
12/6/2021 5:00:20 PM,00:A6:CA:66:AF:B0,"""Cisco Systems Inc.""","""eduroam""",-76,50,,"""Ch 1 [2.412 GHz]""","""0 Stations, 23Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 5:00:20 PM,00:3A:7D:27:B5:F0,"""Cisco Systems Inc.""","""eduroam""",-78,43,,"""Ch 1 [2.412 GHz]""","""0 Stations, 41Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 5:00:20 PM,84:3D:C6:C7:C2:00,"""Cisco Systems Inc.""","""eduroam""",-75,53,,"""Ch 1 [2.412 GHz]""","""6 Stations, 32Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","6
"
12/6/2021 5:00:20 PM,00:3A:7D:34:E4:F0,"""Cisco Systems Inc.""","""eduroam""",-71,65,,"""Ch 1 [2.412 GHz]""","""1 Station, 28Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 5:00:20 PM,84:3D:C6:AD:AE:A0,"""Cisco Systems Inc.""","""eduroam""",-59,82,,"""Ch 1 [2.412 GHz]""","""1 Station, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 5:00:20 PM,84:3D:C6:AD:80:CF,"""Cisco Systems Inc.""","""eduroam""",-82,33,,"""Ch 100 [5.500 GHz]""","""4 Stations, 13Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","4
"
12/6/2021 5:00:20 PM,00:3A:7D:34:E4:FF,"""Cisco Systems Inc.""","""eduroam""",-84,29,,"""Ch 64 [5.320 GHz]""","""5 Stations, 3Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","5
"
12/6/2021 5:00:20 PM,84:3D:C6:BD:41:1F,"""Cisco Systems Inc.""","""eduroam""",-55,85,,"""Ch 64 [5.320 GHz]""","""2 Stations, 4Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
